名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
杨莲路205号,浦东北蔡,杨莲路205号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杨莲路215号,浦东北蔡,杨莲路215号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
"杨莲路201,203号",浦东北蔡,杨莲路201、203号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
严镇路95号,浦东北蔡,严镇路95号,0, 板楼, 1户, 1栋, 商品房, 1990年 , 0.8元/平米/月, 暂无信息
杨莲路207号,浦东北蔡,杨莲路207号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杨莲路211号,浦东北蔡,杨莲路211号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杨莲路213号,浦东北蔡,杨莲路213号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杨莲路225、227号,浦东北蔡,杨莲路225、227号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
沪南路611-615号,浦东北蔡,沪南路611-615号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
莲安西路65-117号,浦东北蔡,"莲安西路117号, 莲安西路65号, 莲安西路73号, 莲安西路81号, 莲安西路95号, 莲安西路109号, 莲安西路101号",62720, 板楼, 84户, 7栋, 商品房/使用权, 1995年 , 0.6元/平米/月, 上海绿地物业服务有限公司
芳华路498号,浦东北蔡,芳华路498号,0, 平房, 1户, 1栋, 商品房, 1994年 , 4元/平米/月, 暂无信息
芳华路494-498号,浦东北蔡,芳华路494-498号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
锦尊路223号,浦东北蔡,锦尊路223号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
龙阳路2000号,浦东北蔡,龙阳路2000号,0, 塔板结合, 35户, 1栋, 商品房/使用权, 1994年 , 3.2元/平米/月, 北蔡物业
锦尊路229号,浦东北蔡,锦尊路229号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
严镇路93号,浦东北蔡,严镇路93号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
莲馨苑,浦东北蔡,莲园路630弄,0, 板楼, 95户, 84栋, 商品房, 2003年 , 1.5元/平米/月, 上海莲溪物业管理有限公司
星月·金融湾,浦东北蔡,罗山路4088弄,0, 塔板结合, 33户, 10栋, 商品房/使用权, 暂无信息 , 暂无信息, 上海星跃物业管理有限公司
严桥路351弄,浦东北蔡,严桥路351弄(博文路1378弄,0, 板楼, 30户, 2栋, 商品房, 1994-1999年 , 0.5元/平米/月, 暂无信息
天安万科御河企业公馆,浦东北蔡,"五星路568号（近沪南路）, 五星路707弄, 五星路677弄",0, 板楼, 41户, 34栋, 商品房/使用权, 1995-2012年 , 2至2.4元/平米/月, 暂无信息
御河科创中心,浦东北蔡,"五星路707弄, 五星路706弄",0, 未知类型, 51户, 51栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
严桥路351弄,浦东北蔡,严桥路351弄(博文路1378弄,0, 板楼, 30户, 2栋, 商品房, 1994-1999年 , 0.5元/平米/月, 暂无信息
天安万科御河企业公馆,浦东北蔡,"五星路568号（近沪南路）, 五星路707弄, 五星路677弄",0, 板楼, 41户, 34栋, 商品房/使用权, 1995-2012年 , 2至2.4元/平米/月, 暂无信息
德祥苑,浦东北蔡,鹏飞路28弄,65891, 板楼, 307户, 6栋, 商品房/动迁安置房/使用权, 2012-2016年 , 1至1.5元/平米/月, 上海莲溪物业管理有限公司
南新公寓,浦东北蔡,"下南路500弄, 下南路518弄, 下南路526弄",47579, 板楼, 434户, 35栋, 商品房/动迁安置房/使用权, 1996-1999年 , 0.8元/平米/月, 暂无信息
博华路380弄1号,浦东北蔡,博华路380弄1号,0, 未知类型, 110户, 1栋, 商品房, 2008年 , 暂无信息, 暂无信息
莲溪四村,浦东北蔡,"莲东新村,莲安东路243弄",51558, 板楼, 589户, 48栋, 商品房/售后公房/动迁安置房/使用权, 1994-1997年 , 0.4至0.45元/平米/月, 暂无信息
泰德福苑,浦东北蔡,杨莲路160弄,0, 未知类型, 305户, 6栋, 商品房/动迁安置房, 2020年 , 暂无信息, 暂无信息
池上锦苑,浦东北蔡,陈春路880弄1-41号,0, 板楼/平房, 944户, 35栋, 商品房/动迁安置房, 2022-2023年 , 1至3.5元/平米/月, 暂无信息
莲安西路125弄32支弄18-21号,浦东北蔡,上海市浦东新区北蔡镇莲安西路125弄32支弄,54709, 板楼, 20户, 2栋, 商品房/售后公房, 1994年 , 0.45元/平米/月, 上海浦东新区潍坊物业公司
由由六村,浦东北蔡,"严镇路96弄,严桥路55弄,严桥路141弄1-27号,严民路248弄,严民路280弄",55542, 板楼, 974户, 74栋, 商品房/售后公房/动迁安置房/使用权, 1985-1997年 , 0.45至8元/平米/月, 暂无信息
紫叶花园东园,浦东北蔡,"北中路10弄, 莲安西路108弄, 紫叶路251弄, 紫叶路191弄",68020, 板楼, 474户, 41栋, 商品房/动迁安置房, 1998-2000年 , 0.8至1.2元/平米/月, 绿地物业
锦华东南苑,浦东北蔡,"成山路2222弄, 成山路2236号",84276, 板楼, 347户, 29栋, 商品房/使用权, 2004-2005年 , 0.9至1.7元/平米/月, 上海福高物业管理有限公司
苗桐佳苑(南区),浦东北蔡,芳华路788弄,70369, 板楼, 720户, 16栋, 商品房/动迁安置房/使用权, 2017-2018年 , 0.8至2元/平米/月, 暂无信息
金顺小区,浦东北蔡,"下南路971弄1-23号,北艾路901弄1-16号",60119, 板楼, 559户, 36栋, 商品房/动迁安置房, 1994年 , 0.35元/平米/月, 上海建工物业有限公司
海上国际花园(三期),浦东北蔡,锦绣路3311弄1-21号,0, 板楼, 17户, 17栋, 商品房, 2009年 , 5元/平米/月, 上海杨房物业管理有限公司
弘德福苑,浦东北蔡,杨莲路310弄1-14号,0, 板楼/平房, 473户, 8栋, 商品房/动迁安置房, 2020-2021年 , 暂无信息, 暂无信息
正德福苑,浦东北蔡,鹏岳路233弄,0, 未知类型, 272户, 4栋, 动迁安置房, 2020年 , 暂无信息, 暂无信息
北蔡大街72弄,浦东北蔡,北蔡大街72弄,0, 板楼, 44户, 3栋, 商品房, 1997年 , 暂无信息, 暂无信息
紫叶花园,浦东北蔡,"紫叶路115弄, 紫叶路65弄, 紫叶路140弄, 紫叶路115弄, 紫叶路127弄, 紫叶路51弄, 紫叶路140弄, 紫叶路147弄, 紫叶路101弄, 紫叶路81弄, 紫叶路192弄, 紫叶路276弄, 紫叶路152弄, 紫叶路128弄, 紫叶路116弄, 紫叶路100弄, 紫叶路80弄, 紫叶路66弄, 紫叶路50弄",54601, 板楼, 1944户, 153栋, 商品房/售后公房/动迁安置房/使用权, 1995-1998年 , 0.5至1元/平米/月, 上海开伦物业管理有限公司
由由四季苑,浦东北蔡,严民路248弄,73177, 板楼, 286户, 24栋, 商品房/动迁安置房, 2002年 , 0.45至0.8元/平米/月, 暂无信息
大华锦绣华城(十四街区),浦东北蔡,"华鹏路300弄, 成山路1300",95536, 板楼, 929户, 40栋, 商品房/使用权/私产, 2011-2015年 , 2.6元/平米/月, 浦华物业
由由一村,浦东北蔡,"严杨路30弄,严杨路165弄,严杨路60弄,严杨路45弄",52331, 板楼, 1371户, 104栋, 商品房/动迁安置房, 1937-1997年 , 0.5至0.8元/平米/月, 上海由由物业管理有限公司
大华锦绣华城(一街区),浦东北蔡,"华绣路255弄1-17号,华绣路179弄1-78号",77888, 板楼, 1629户, 86栋, 商品房/动迁安置房, 2008年 , 0.56至1.3元/平米/月, 上海汇虹物业管理有限公司
莲康苑,浦东北蔡,高青路4567弄,60049, 板楼, 2692户, 40栋, 商品房/动迁安置房/使用权, 1994-2014年 , 1.2元/平米/月, 上海莲溪物业管理有限公司
莲溪二村,浦东北蔡,"北中路383弄1-19号, 莲园路560弄",55789, 板楼, 657户, 41栋, 商品房/售后公房/动迁安置房/使用权, 1990-1998年 , 0.5至1.5元/平米/月, 上海华辰物业管理有限公司
德圣苑,浦东北蔡,陈春东路88弄,66159, 板楼, 442户, 9栋, 商品房/动迁安置房, 2012年 , 0.8元/平米/月, 上海汇虹物业管理有限公司
锦三角花园(公寓),浦东北蔡,锦绣路2885弄1-37号,75048, 板楼, 394户, 23栋, 商品房/动迁安置房, 1998-2003年 , 1.5元/平米/月, 上海浦东物业管理公司
凯利海华府,浦东北蔡,成山路1066弄,112003, 板楼, 1675户, 22栋, 商品房, 2018-2021年 , 5元/平米/月, 上海申能物业管理有限公司
由中苑,浦东北蔡,严民路221弄,74812, 板楼, 204户, 17栋, 商品房/动迁安置房, 2000-2002年 , 1.25元/平米/月, 上海由由物业管理有限公司
文汇小区(浦东),浦东北蔡,"下南路276弄,下南路370弄,下南路320弄",47850, 板楼, 1752户, 73栋, 商品房/售后公房/动迁安置房, 1994-1996年 , 0.8元/平米/月, 上海莲溪物业管理有限公司
莲中路174弄,浦东北蔡,莲中路174弄,53243, 板楼, 222户, 17栋, 商品房/动迁安置房, 1994-1995年 , 0.8元/平米/月, 上海嘉宝物业服务有限公司
莲安东路79弄,浦东北蔡,莲安东路79弄,58109, 板楼, 318户, 24栋, 商品房/动迁安置房, 1993-1997年 , 0.55元/平米/月, 振群物业
南新一村(下南路161弄),浦东北蔡,下南路161弄,46900, 板楼, 456户, 38栋, 商品房, 1992-1996年 , 0.7元/平米/月, 上海长银物业发展有限公司
南新六村,浦东北蔡,"下南路500弄, 下南路526弄",43877, 板楼, 888户, 38栋, 商品房/售后公房/动迁安置房/使用权, 1995-1997年 , 0.8元/平米/月, 上海田丰物业管理有限公司
大华锦绣华城(二街区),浦东北蔡,"华绣路18弄,北艾路1500弄,北艾路1660弄",71954, 板楼, 2166户, 43栋, 商品房/动迁安置房/限价商品房, 2008-2014年 , 0.58至2.3元/平米/月, 上海春川物业服务有限公司
大华锦绣华城(十五街区),浦东北蔡,成山路1488弄,103817, 塔楼/板楼, 1292户, 16栋, 商品房/使用权/私产, 2013-2015年 , 3.9元/平米/月, 上海浦华物业管理有限公司
杨高南路2877弄,浦东北蔡,杨高南路2877弄,53765, 板楼, 132户, 9栋, 商品房/售后公房/动迁安置房, 1991-1994年 , 0.8至1.25元/平米/月, 上海锦明物业
芳华路53号,浦东北蔡,芳华路53号,57702, 板楼, 24户, 1栋, 商品房, 1994年 , 0.65元/平米/月, 花木物业
大华锦绣华城(十二街区),浦东北蔡,"锦绣路3088弄2-164号, 成山路2115号",83291, 板楼, 2007户, 137栋, 商品房/动迁安置房, 2003-2007年 , 1.58至2.03元/平米/月, 暂无信息
大华锦绣华城(十九街区)(公寓),浦东北蔡,"锦绣路3336弄,锦绣路3338弄",82796, 板楼, 1687户, 126栋, 商品房/使用权/私产, 2003-2007年 , 1至1.85元/平米/月, 浦华物业
加东花园,浦东北蔡,莲安西路125弄81-140号,54947, 板楼, 797户, 66栋, 商品房/使用权, 1995-2015年 , 1.25元/平米/月, 大华集团上海浦华物业管理有限公司
玉兰小区,浦东北蔡,"莲中路337弄,莲溪路550弄",53968, 板楼, 1282户, 89栋, 商品房/动迁安置房, 1994-1996年 , 0.5至0.8元/平米/月, 上海东莲物业管理有限公司
大华伊斐墅,浦东北蔡,华鹏路390弄,150504, 板楼, 154户, 140栋, 商品房, 2015-2017年 , 3.6元/平米/月, 上海浦华物业管理有限公司
南新四村,浦东北蔡,"下南路501弄,下南路551弄",47389, 板楼, 1788户, 107栋, 商品房/售后公房/动迁安置房/使用权, 1994-1996年 , 0.8元/平米/月, 上海绿地物业发展有限公司
大华锦绣华城(十六街区)(公寓),浦东北蔡,成山路1728弄,89316, 板楼, 1494户, 52栋, 商品房/动迁安置房/使用权, 2008-2010年 , 2.2至3元/平米/月, 浦华物业
芳华小区,浦东北蔡,芳华路371弄,57117, 板楼, 184户, 19栋, 商品房/动迁安置房, 1997-1998年 , 0.5至0.65元/平米/月, 上海浦东新区花木物业公司
金恒小区,浦东北蔡,北艾路862弄,58142, 板楼, 696户, 45栋, 商品房/动迁安置房, 1995年 , 0.35至0.8元/平米/月, 上海市陆家嘴物业管理有限公司
锦博苑,浦东北蔡,"高科西路2111弄1-166号, （博文路1679弄）",74609, 板楼, 1969户, 155栋, 商品房/动迁安置房/使用权, 2000-2007年 , 0.45至0.8元/平米/月, 上海润美物业管理有限公司
绿川公寓,浦东北蔡,博华路980弄,52587, 板楼, 324户, 27栋, 商品房/动迁安置房, 1998年 , 0.35至1.5元/平米/月, 上海绿地物业服务有限公司
鹏宏苑,浦东北蔡,鹏飞路333弄,62493, 板楼, 498户, 33栋, 商品房/动迁安置房/使用权, 2009年 , 0.8元/平米/月, 上海东莲物业管理有限公司
培花久远公寓,浦东北蔡,"芳华路478弄, 芳华路444号",57222, 板楼, 1133户, 86栋, 商品房/动迁安置房, 1994-2000年 , 0.35至1元/平米/月, 华新物业公司
天池一村,浦东北蔡,"北艾路73弄,北艾路155弄,北艾路227弄",55346, 板楼, 1116户, 69栋, 商品房/动迁安置房/使用权, 1994年 , 0.6至0.78元/平米/月, 上海吉松物业管理中心
大华锦绣华城(十一街区),浦东北蔡,"北艾路1077弄2-73号, 北艾路1077弄1-75号,下南路880号",99654, 板楼, 1251户, 63栋, 商品房/动迁安置房/使用权, 2007-2012年 , 1.85元/平米/月, 上海浦华物业管理有限公司
大华锦绣华城(四街区),浦东北蔡,北艾路1765弄1-127号,81293, 板楼, 2460户, 116栋, 商品房/动迁安置房/使用权/私产, 2010年 , 0.49至1.28元/平米/月, 浦华物业
鹏丰苑,浦东北蔡,"鹏岳路152弄,鹏飞路411弄,鹏飞路426弄",62827, 板楼, 1186户, 27栋, 商品房/动迁安置房, 2010-2011年 , 1.2元/平米/月, 上海鹏丰物业管理有限公司
莲中二村,浦东北蔡,"莲中路318弄, 莲中路356弄, 新陈路25弄",50026, 板楼, 481户, 36栋, 商品房/动迁安置房/使用权, 1994-2005年 , 0.36至0.45元/平米/月, 上海莲溪物业管理有限公司
文化馨苑,浦东北蔡,博华路237弄,73960, 板楼, 1127户, 75栋, 商品房/动迁安置房, 2004年 , 0.6元/平米/月, 上海东莲物业管理有限公司
绿川新苑,浦东北蔡,"绿林路50弄,绿林路51弄,绿林路52弄,绿林路320弄",50918, 板楼, 2952户, 263栋, 商品房/动迁安置房, 1991-2005年 , 0.55至1.1元/平米/月, 上海芸绮物业管理有限公司
宝华海尚郡领,浦东北蔡,成山路2388弄,114501, 板楼, 1047户, 63栋, 商品房/使用权, 2014-2015年 , 2.88元/平米/月, 上海安荣物业管理服务有限公司
北中路280弄,浦东北蔡,"北中路280弄, 北中路270号",53653, 板楼, 342户, 24栋, 商品房/动迁安置房/使用权, 1990-2004年 , 0.45至0.8元/平米/月, 上海浦东新区北房物业公司
大华锦绣华城(十八街区)(公寓),浦东北蔡,成山路2008弄,94445, 塔楼/板楼, 1072户, 26栋, 商品房/动迁安置房/使用权, 2006-2009年 , 1.85至3.55元/平米/月, 上海同涞物业管理有限公司
绿川小区,浦东北蔡,"博华路999弄,博华路1018弄",46464, 板楼, 1914户, 150栋, 商品房/售后公房/动迁安置房/使用权, 1995-1997年 , 0.5至0.8元/平米/月, 上海长银物业发展有限公司
罗山花苑,浦东碧云,"明月路199弄, 明月路199弄1-62号",105627, 板楼, 703户, 62栋, 商品房, 1998-1999年 , 1元/平米/月, 上海芸绮物业管理有限公司
银泰花园(公寓),浦东碧云,蓝天路368弄,104367, 板楼, 244户, 13栋, 商品房, 1998-2000年 , 2元/平米/月, 上海银帆物业管理有限公司
金桥路2346弄,浦东碧云,金桥路2346弄,47575, 板楼, 84户, 4栋, 商品房/动迁安置房, 1993年 , 1元/平米/月, 上海新金桥物业管理有限公司
民航大厦,浦东碧云,新金桥路18号,0, 塔楼, 425户, 1栋, 商品房/使用权, 2005年 , 22元/平米/月, 国依诺瓦物业
金浦小区(金桥),浦东碧云,金桥路2552弄,53426, 板楼, 571户, 40栋, 商品房/已购公房/售后公房/动迁安置房/使用权, 1995年 , 0.8元/平米/月, 中星物业
品赏碧云,浦东碧云,碧云路86弄,105788, 板楼, 248户, 13栋, 商品房, 2003-2006年 , 1.85元/平米/月, 上海芸绮物业管理有限公司
信和花园,浦东碧云,黄杨路69弄,86834, 板楼, 352户, 12栋, 商品房, 1935-1997年 , 2.46元/平米/月, 新盛元物业管理有限公司
碧云东方公寓,浦东碧云,红枫路300弄,107924, 板楼, 430户, 13栋, 商品房/使用权/私产, 2005年 , 3.34至3.35元/平米/月, 上海星际物业有限公司
中天碧云,浦东碧云,碧云路333弄,93618, 板楼/平房, 427户, 20栋, 商品房/使用权, 2004-2005年 , 3.58元/平米/月, 万科物业
金桥爱建园,浦东碧云,碧云路199弄,98751, 板楼, 1197户, 40栋, 商品房, 2003-2004年 , 2.45元/平米/月, 上海复欣物业管理有限公司
星云小区,浦东碧云,罗山路1507弄,73906, 板楼, 108户, 6栋, 商品房, 1995年 , 0.37至0.5元/平米/月, 上海隆庆物业管理有限公司
晓园,浦东碧云,红枫路358弄,131223, 板楼, 268户, 14栋, 商品房, 2004-2006年 , 4.98元/平米/月, 金晨物业
银泰花园(别墅),浦东碧云,蓝天路368弄,114701, 板楼, 90户, 90栋, 商品房, 2000年 , 2元/平米/月, 上海银帆物业管理有限公司
维诗凯亚,浦东碧云,云山路2000弄,119817, 板楼/塔板结合, 179户, 179栋, 商品房, 2004-2007年 , 8.5元/平米/月, 上海万科物业管理有限公司
世茂湖滨花园(公寓),浦东碧云,明月路188弄,106840, 板楼, 944户, 14栋, 商品房/使用权, 2003-2005年 , 4.2元/平米/月, 上海绿城物业管理有限公司
百富丽山庄,浦东碧云,明月路1118弄,0, 板楼, 26户, 26栋, 商品房, 1998-2007年 , 6.8元/平米/月, 上海金晨物业经营管理有限公司
世茂湖滨花园(别墅),浦东碧云,明月路188弄,114359, 板楼, 189户, 82栋, 商品房, 2003-2005年 , 4.2至5.5元/平米/月, 上海绿城物业管理有限公司
钻石碧云苑,浦东碧云,黄杨路65弄,84617, 塔楼, 392户, 2栋, 商品房, 2004年 , 4.6元/平米/月, 上海宝地仲量联行物业服务有限公司
